Character Name,Link
Ar-Pharazôn,https://lotr.fandom.com/wiki/Ar-Pharaz%C3%B4n
Tom Bombadil,https://lotr.fandom.com/wiki/Tom_Bombadil
Celebrimbor,https://lotr.fandom.com/wiki/Celebrimbor
Círdan,https://lotr.fandom.com/wiki/C%C3%ADrdan
Durin III,https://lotr.fandom.com/wiki/Durin_III
Durin IV,https://lotr.fandom.com/wiki/Durin_IV
Elendil,https://lotr.fandom.com/wiki/Elendil
Elrond,https://lotr.fandom.com/wiki/Elrond
Finrod,https://lotr.fandom.com/wiki/Finrod
Galadriel,https://lotr.fandom.com/wiki/Galadriel
Gandalf,https://lotr.fandom.com/wiki/Gandalf
Gil-galad,https://lotr.fandom.com/wiki/Gil-galad
Goldberry,https://lotr.fandom.com/wiki/Goldberry
Isildur,https://lotr.fandom.com/wiki/Isildur
Narvi,https://lotr.fandom.com/wiki/Narvi
Sauron,https://lotr.fandom.com/wiki/Sauron
Tar-Míriel,https://lotr.fandom.com/wiki/Tar-M%C3%ADriel
Tar-Palantir,https://lotr.fandom.com/wiki/Tar-Palantir
